jurisdiction,district_number,district_name,total_party_votes,total_votes,fptp_winner,fptp_party,fptp_is_independent,rpv_winner,result_change,rpv_party
Quebec,24029,Honoré-Mercier,48409,48409,"Rodriguez, Pablo",Liberal,False,"Rodriguez, Pablo",False,Liberal
Ontario,35013,Brantford–Brant,65826,66122,"Brock, Larry",Conservative,False,"Brock, Larry",False,Conservative
Quebec,24023,Compton–Stanstead,57610,57796,"Bibeau, Marie-Claude",Liberal,False,"Bibeau, Marie-Claude",False,Liberal
Quebec,24038,Laurentides–Labelle,63943,64123,"Gaudreau, Marie-Hélène",Bloc Québécois,False,"Gaudreau, Marie-Hélène",False,Bloc Québécois
Ontario,35001,Ajax,49758,49758,"Holland, Mark",Liberal,False,"Holland, Mark",False,Liberal
Quebec,24078,Vimy,50862,50862,"Koutrakis, Annie",Liberal,False,"Koutrakis, Annie",False,Liberal
Quebec,24025,Drummond,51189,51189,"Champoux, Martin",Bloc Québécois,False,"Champoux, Martin",False,Bloc Québécois
New Brunswick,13003,Fredericton,43752,44062,"Atwin, Jenica",Liberal,False,"O'Byrne, Nicole",True,Green Party
Quebec,24075,Terrebonne,58949,58949,"Sinclair-Desgagné, Nathalie",Bloc Québécois,False,"Sinclair-Desgagné, Nathalie",False,Bloc Québécois
Nova Scotia,12002,Central Nova,40109,40474,"Fraser, Sean",Liberal,False,"Fraser, Sean",False,Liberal
Nova Scotia,12008,Sackville–Preston–Chezzetcook,45606,45606,"Samson, Darrell",Liberal,False,"Chisholm, Jenna",True,NDP-New Democratic Party
Ontario,35022,Dufferin–Caledon,65366,65573,"Seeback, Kyle",Conservative,False,"Seeback, Kyle",False,Conservative
Nova Scotia,12007,Kings–Hants,44956,44956,"Blois, Kody",Liberal,False,"Blois, Kody",False,Liberal
Nova Scotia,12001,Cape Breton–Canso,39360,39360,"Kelloway, Mike",Liberal,False,"Kelloway, Mike",False,Liberal
Quebec,24021,Châteauguay–Lacolle,48683,48683,"Shanahan, Brenda",Liberal,False,"Shanahan, Brenda",False,Liberal
Quebec,24042,Lévis–Lotbinière,63407,63407,"Gourde, Jacques",Conservative,False,"Gourde, Jacques",False,Conservative
